,date_time,intensity_forecast,intensity_actual
125,2018-01-03T1445,267,235
126,2018-01-03T1515,270,247
127,2018-01-03T1545,277,256
128,2018-01-03T1615,280,260
129,2018-01-03T1645,291,264
130,2018-01-03T1715,302,263
131,2018-01-03T1745,304,268
132,2018-01-03T1815,305,271
133,2018-01-03T1845,302,267
134,2018-01-03T1915,294,263
135,2018-01-03T1945,289,255
136,2018-01-03T2015,276,249
137,2018-01-03T2045,264,238
138,2018-01-03T2115,250,228
139,2018-01-03T2145,238,221
140,2018-01-03T2215,224,211
141,2018-01-03T2245,211,200
142,2018-01-03T2315,200,201
143,2018-01-03T2345,191,210
144,2018-01-04T0015,192,221
145,2018-01-04T0045,202,224
146,2018-01-04T0115,210,222
147,2018-01-04T0145,221,225
148,2018-01-04T0215,227,233
149,2018-01-04T0245,236,241
150,2018-01-04T0315,245,248
151,2018-01-04T0345,250,261
152,2018-01-04T0415,257,266
153,2018-01-04T0445,264,266
154,2018-01-04T0515,272,274
155,2018-01-04T0545,278,276
156,2018-01-04T0615,300,282
157,2018-01-04T0645,318,297
158,2018-01-04T0715,339,310
159,2018-01-04T0745,358,314
160,2018-01-04T0815,350,320
161,2018-01-04T0845,348,323
162,2018-01-04T0915,343,322
163,2018-01-04T0945,339,324
164,2018-01-04T1015,330,322
165,2018-01-04T1045,323,326
166,2018-01-04T1115,321,318
167,2018-01-04T1145,316,308
168,2018-01-04T1215,308,292
169,2018-01-04T1245,308,279
170,2018-01-04T1315,303,276
171,2018-01-04T1345,305,274
172,2018-01-04T1415,308,272
173,2018-01-04T1445,309,278
174,2018-01-04T1515,306,284
175,2018-01-04T1545,309,287
176,2018-01-04T1615,312,298
177,2018-01-04T1645,314,313
178,2018-01-04T1715,313,319
179,2018-01-04T1745,315,323
180,2018-01-04T1815,317,323
181,2018-01-04T1845,324,322
182,2018-01-04T1915,324,317
183,2018-01-04T1945,322,310
184,2018-01-04T2015,315,300
185,2018-01-04T2045,306,282
186,2018-01-04T2115,291,266
187,2018-01-04T2145,280,259
188,2018-01-04T2215,274,254
189,2018-01-04T2245,262,250
190,2018-01-04T2315,255,245
191,2018-01-04T2345,248,252
192,2018-01-05T0015,257,263
193,2018-01-05T0045,264,271
194,2018-01-05T0115,274,278
195,2018-01-05T0145,280,278
196,2018-01-05T0215,280,282
197,2018-01-05T0245,281,284
198,2018-01-05T0315,281,285
199,2018-01-05T0345,273,289
200,2018-01-05T0415,276,293
201,2018-01-05T0445,278,296
202,2018-01-05T0515,282,298
203,2018-01-05T0545,283,305
204,2018-01-05T0615,295,312
205,2018-01-05T0645,306,322
206,2018-01-05T0715,324,338
207,2018-01-05T0745,331,345
208,2018-01-05T0815,335,365
209,2018-01-05T0845,336,380
210,2018-01-05T0915,336,387
211,2018-01-05T0945,337,388
212,2018-01-05T1015,336,380
213,2018-01-05T1045,336,381
214,2018-01-05T1115,336,382
215,2018-01-05T1145,333,380
216,2018-01-05T1215,328,384
217,2018-01-05T1245,322,378
218,2018-01-05T1315,324,375
219,2018-01-05T1345,323,376
220,2018-01-05T1415,326,377
221,2018-01-05T1445,327,382
222,2018-01-05T1515,333,386
223,2018-01-05T1545,335,394
224,2018-01-05T1615,339,405
225,2018-01-05T1645,344,400
226,2018-01-05T1715,344,398
227,2018-01-05T1745,344,396
228,2018-01-05T1815,344,394
229,2018-01-05T1845,340,391
230,2018-01-05T1915,338,389
231,2018-01-05T1945,330,379
232,2018-01-05T2015,317,367
233,2018-01-05T2045,311,360
234,2018-01-05T2115,304,352
235,2018-01-05T2145,295,335
236,2018-01-05T2215,275,311
237,2018-01-05T2245,262,296
238,2018-01-05T2315,261,282
239,2018-01-05T2345,255,274
240,2018-01-06T0015,255,269
241,2018-01-06T0045,256,266
242,2018-01-06T0115,260,269
243,2018-01-06T0145,258,265
244,2018-01-06T0215,251,263
245,2018-01-06T0245,244,256
246,2018-01-06T0315,239,253
247,2018-01-06T0345,233,238
248,2018-01-06T0415,228,235
249,2018-01-06T0445,222,228
250,2018-01-06T0515,221,220
251,2018-01-06T0545,214,216
252,2018-01-06T0615,210,229
253,2018-01-06T0645,213,233
254,2018-01-06T0715,218,218
255,2018-01-06T0745,226,220
256,2018-01-06T0815,230,224
257,2018-01-06T0845,245,236
258,2018-01-06T0915,251,245
259,2018-01-06T0945,257,245
260,2018-01-06T1015,258,244
261,2018-01-06T1045,260,242
262,2018-01-06T1115,262,246
263,2018-01-06T1145,261,245
264,2018-01-06T1215,259,253
265,2018-01-06T1245,258,249
266,2018-01-06T1315,245,244
267,2018-01-06T1345,246,240
268,2018-01-06T1415,247,242
269,2018-01-06T1445,250,240
270,2018-01-06T1515,254,248
271,2018-01-06T1545,261,269
272,2018-01-06T1615,275,283
273,2018-01-06T1645,288,293
274,2018-01-06T1715,300,298
275,2018-01-06T1745,309,296
276,2018-01-06T1815,312,292
277,2018-01-06T1845,314,294
278,2018-01-06T1915,310,294
279,2018-01-06T1945,304,282
280,2018-01-06T2015,297,268
281,2018-01-06T2045,291,265
282,2018-01-06T2115,286,261
283,2018-01-06T2145,278,250
284,2018-01-06T2215,267,238
285,2018-01-06T2245,259,233
286,2018-01-06T2315,257,228
287,2018-01-06T2345,250,227
288,2018-01-07T0015,249,224
289,2018-01-07T0045,250,220
290,2018-01-07T0115,257,228
291,2018-01-07T0145,261,233
292,2018-01-07T0215,258,233
293,2018-01-07T0245,255,234
294,2018-01-07T0315,254,235
295,2018-01-07T0345,251,229
296,2018-01-07T0415,249,230
297,2018-01-07T0445,247,226
298,2018-01-07T0515,244,227
299,2018-01-07T0545,241,229
300,2018-01-07T0615,238,233
301,2018-01-07T0645,240,238
302,2018-01-07T0715,242,250
303,2018-01-07T0745,248,248
304,2018-01-07T0815,249,240
305,2018-01-07T0845,261,248
306,2018-01-07T0915,269,253
307,2018-01-07T0945,275,254
308,2018-01-07T1015,276,256
309,2018-01-07T1045,280,258
310,2018-01-07T1115,283,256
311,2018-01-07T1145,286,257
312,2018-01-07T1215,287,256
313,2018-01-07T1245,288,255
314,2018-01-07T1315,266,257
315,2018-01-07T1345,274,258
316,2018-01-07T1415,278,265
317,2018-01-07T1445,286,278
318,2018-01-07T1515,296,297
319,2018-01-07T1545,307,313
320,2018-01-07T1615,320,337
321,2018-01-07T1645,331,350
322,2018-01-07T1715,342,351
323,2018-01-07T1745,345,349
324,2018-01-07T1815,345,347
325,2018-01-07T1845,345,341
326,2018-01-07T1915,337,338
327,2018-01-07T1945,327,325
328,2018-01-07T2015,319,308
329,2018-01-07T2045,310,299
330,2018-01-07T2115,300,276
331,2018-01-07T2145,285,249
332,2018-01-07T2215,261,233
333,2018-01-07T2245,245,222
334,2018-01-07T2315,235,204
335,2018-01-07T2345,223,205
336,2018-01-08T0015,214,218
337,2018-01-08T0045,215,214
338,2018-01-08T0115,222,216
339,2018-01-08T0145,224,212
340,2018-01-08T0215,222,206
341,2018-01-08T0245,219,201
342,2018-01-08T0315,219,202
343,2018-01-08T0345,216,202
344,2018-01-08T0415,212,200
345,2018-01-08T0445,209,199
346,2018-01-08T0515,211,201
347,2018-01-08T0545,215,205
348,2018-01-08T0615,226,220
349,2018-01-08T0645,244,234
350,2018-01-08T0715,263,255
351,2018-01-08T0745,280,270
352,2018-01-08T0815,284,278
353,2018-01-08T0845,287,282
354,2018-01-08T0915,288,280
355,2018-01-08T0945,292,282
356,2018-01-08T1015,292,285
357,2018-01-08T1045,294,285
358,2018-01-08T1115,298,286
359,2018-01-08T1145,300,289
360,2018-01-08T1215,302,293
361,2018-01-08T1245,301,297
362,2018-01-08T1315,299,299
363,2018-01-08T1345,297,307
364,2018-01-08T1415,296,311
365,2018-01-08T1445,297,313
366,2018-01-08T1515,299,314
367,2018-01-08T1545,302,322
368,2018-01-08T1615,320,328
369,2018-01-08T1645,320,328
370,2018-01-08T1715,322,324
371,2018-01-08T1745,324,323
372,2018-01-08T1815,324,321
373,2018-01-08T1845,329,324
374,2018-01-08T1915,329,320
375,2018-01-08T1945,322,313
376,2018-01-08T2015,312,306
377,2018-01-08T2045,305,291
378,2018-01-08T2115,294,271
379,2018-01-08T2145,276,256
380,2018-01-08T2215,260,247
381,2018-01-08T2245,245,236
382,2018-01-08T2315,234,229
383,2018-01-08T2345,227,233
384,2018-01-09T0015,218,234
385,2018-01-09T0045,214,242
386,2018-01-09T0115,226,242
387,2018-01-09T0145,231,242
388,2018-01-09T0215,231,239
389,2018-01-09T0245,231,243
390,2018-01-09T0315,233,246
391,2018-01-09T0345,235,248
392,2018-01-09T0415,236,250
393,2018-01-09T0445,237,250
394,2018-01-09T0515,241,250
395,2018-01-09T0545,246,248
396,2018-01-09T0615,256,260
397,2018-01-09T0645,270,288
398,2018-01-09T0715,290,319
399,2018-01-09T0745,300,328
400,2018-01-09T0815,308,331
401,2018-01-09T0845,314,333
402,2018-01-09T0915,319,333
403,2018-01-09T0945,321,335
404,2018-01-09T1015,320,337
405,2018-01-09T1045,318,344
406,2018-01-09T1115,318,351
407,2018-01-09T1145,317,352
408,2018-01-09T1215,317,355
409,2018-01-09T1245,316,355
410,2018-01-09T1315,317,354
411,2018-01-09T1345,318,350
412,2018-01-09T1415,319,348
413,2018-01-09T1445,324,342
414,2018-01-09T1515,332,346
415,2018-01-09T1545,339,351
416,2018-01-09T1615,348,353
417,2018-01-09T1645,356,352
418,2018-01-09T1715,360,351
419,2018-01-09T1745,359,357
420,2018-01-09T1815,354,367
421,2018-01-09T1845,354,368
422,2018-01-09T1915,350,354
423,2018-01-09T1945,341,347
424,2018-01-09T2015,332,332
425,2018-01-09T2045,325,316
426,2018-01-09T2115,312,300
427,2018-01-09T2145,299,292
428,2018-01-09T2215,278,278
429,2018-01-09T2245,266,263
430,2018-01-09T2315,257,263
431,2018-01-09T2345,248,266
432,2018-01-10T0015,247,268
433,2018-01-10T0045,250,272
434,2018-01-10T0115,257,272
435,2018-01-10T0145,261,277
436,2018-01-10T0215,259,284
437,2018-01-10T0245,258,284
438,2018-01-10T0315,258,286
439,2018-01-10T0345,261,290
440,2018-01-10T0415,264,294
441,2018-01-10T0445,267,299
442,2018-01-10T0515,278,304
443,2018-01-10T0545,281,312
444,2018-01-10T0615,288,323
445,2018-01-10T0645,303,342
446,2018-01-10T0715,322,365
447,2018-01-10T0745,323,381
448,2018-01-10T0815,330,393
449,2018-01-10T0845,337,398
450,2018-01-10T0915,346,402
451,2018-01-10T0945,347,402
452,2018-01-10T1015,346,398
453,2018-01-10T1045,345,398
454,2018-01-10T1115,346,400
455,2018-01-10T1145,347,401
456,2018-01-10T1215,348,397
457,2018-01-10T1245,350,390
458,2018-01-10T1315,350,396
459,2018-01-10T1345,352,397
460,2018-01-10T1415,359,397
461,2018-01-10T1445,365,406
462,2018-01-10T1515,372,418
463,2018-01-10T1545,385,426
464,2018-01-10T1615,397,426
465,2018-01-10T1645,397,428
466,2018-01-10T1715,392,429
467,2018-01-10T1745,385,426
468,2018-01-10T1815,381,435
469,2018-01-10T1845,374,437
470,2018-01-10T1915,368,443
471,2018-01-10T1945,357,441
472,2018-01-10T2015,346,424
473,2018-01-10T2045,340,417
474,2018-01-10T2115,335,399
475,2018-01-10T2145,320,378
476,2018-01-10T2215,304,363
477,2018-01-10T2245,294,342
478,2018-01-10T2315,285,353
479,2018-01-10T2345,282,362
480,2018-01-11T0015,282,359
481,2018-01-11T0045,283,358
482,2018-01-11T0115,284,353
483,2018-01-11T0145,280,345
484,2018-01-11T0215,277,338
485,2018-01-11T0245,276,330
486,2018-01-11T0315,271,331
487,2018-01-11T0345,269,333
488,2018-01-11T0415,275,333
489,2018-01-11T0445,281,332
490,2018-01-11T0515,294,331
491,2018-01-11T0545,307,330
492,2018-01-11T0615,320,342
493,2018-01-11T0645,336,365
494,2018-01-11T0715,351,386
495,2018-01-11T0745,352,395
496,2018-01-11T0815,355,404
497,2018-01-11T0845,357,409
498,2018-01-11T0915,364,417
499,2018-01-11T0945,368,419
500,2018-01-11T1015,368,417
501,2018-01-11T1045,369,415
502,2018-01-11T1115,370,412
503,2018-01-11T1145,370,411
504,2018-01-11T1215,372,410
505,2018-01-11T1245,370,412
506,2018-01-11T1315,370,407
507,2018-01-11T1345,370,410
508,2018-01-11T1415,372,413
509,2018-01-11T1445,378,417
510,2018-01-11T1515,388,420
511,2018-01-11T1545,402,420
512,2018-01-11T1615,415,425
513,2018-01-11T1645,424,429
514,2018-01-11T1715,424,427
515,2018-01-11T1745,418,425
516,2018-01-11T1815,426,426
517,2018-01-11T1845,431,428
518,2018-01-11T1915,424,424
519,2018-01-11T1945,414,425
520,2018-01-11T2015,399,423
521,2018-01-11T2045,388,412
522,2018-01-11T2115,372,390
523,2018-01-11T2145,352,368
524,2018-01-11T2215,335,345
525,2018-01-11T2245,318,336
526,2018-01-11T2315,315,320
527,2018-01-11T2345,320,312
528,2018-01-12T0015,321,317
529,2018-01-12T0045,323,319
530,2018-01-12T0115,318,324
531,2018-01-12T0145,312,321
532,2018-01-12T0215,309,315
533,2018-01-12T0245,311,312
534,2018-01-12T0315,307,309
535,2018-01-12T0345,304,302
536,2018-01-12T0415,302,297
537,2018-01-12T0445,298,298
538,2018-01-12T0515,295,299
539,2018-01-12T0545,292,294
540,2018-01-12T0615,294,300
541,2018-01-12T0645,308,313
542,2018-01-12T0715,326,323
543,2018-01-12T0745,338,331
544,2018-01-12T0815,342,334
545,2018-01-12T0845,343,333
546,2018-01-12T0915,342,329
547,2018-01-12T0945,343,329
548,2018-01-12T1015,339,329
549,2018-01-12T1045,338,326
550,2018-01-12T1115,338,324
551,2018-01-12T1145,335,319
552,2018-01-12T1215,332,321
553,2018-01-12T1245,330,320
554,2018-01-12T1315,324,320
555,2018-01-12T1345,325,316
556,2018-01-12T1415,326,310
557,2018-01-12T1445,327,308
558,2018-01-12T1515,327,309
559,2018-01-12T1545,329,321
560,2018-01-12T1615,340,329
561,2018-01-12T1645,346,329
562,2018-01-12T1715,352,329
563,2018-01-12T1745,352,329
564,2018-01-12T1815,353,333
565,2018-01-12T1845,354,324
566,2018-01-12T1915,348,312
567,2018-01-12T1945,338,306
568,2018-01-12T2015,324,295
569,2018-01-12T2045,311,281
570,2018-01-12T2115,295,272
571,2018-01-12T2145,278,256
572,2018-01-12T2215,259,243
573,2018-01-12T2245,245,233
574,2018-01-12T2315,240,221
575,2018-01-12T2345,233,216
576,2018-01-13T0015,227,212
577,2018-01-13T0045,226,207
578,2018-01-13T0115,230,209
579,2018-01-13T0145,227,213
580,2018-01-13T0215,222,210
581,2018-01-13T0245,220,215
582,2018-01-13T0315,220,210
583,2018-01-13T0345,214,204
584,2018-01-13T0415,210,206
585,2018-01-13T0445,206,206
586,2018-01-13T0515,202,199
587,2018-01-13T0545,198,195
588,2018-01-13T0615,202,202
589,2018-01-13T0645,208,201
590,2018-01-13T0715,210,194
591,2018-01-13T0745,216,200
592,2018-01-13T0815,221,213
593,2018-01-13T0845,236,226
594,2018-01-13T0915,244,244
595,2018-01-13T0945,251,254
596,2018-01-13T1015,250,252
597,2018-01-13T1045,252,253
598,2018-01-13T1115,252,255
599,2018-01-13T1145,253,264
600,2018-01-13T1215,253,264
601,2018-01-13T1245,252,266
602,2018-01-13T1315,252,265
603,2018-01-13T1345,255,262
604,2018-01-13T1415,254,262
605,2018-01-13T1445,255,264
606,2018-01-13T1515,257,270
607,2018-01-13T1545,260,279
608,2018-01-13T1615,263,292
609,2018-01-13T1645,268,303
610,2018-01-13T1715,284,300
611,2018-01-13T1745,296,300
612,2018-01-13T1815,299,302
613,2018-01-13T1845,299,309
614,2018-01-13T1915,294,306
615,2018-01-13T1945,284,296
616,2018-01-13T2015,274,286
617,2018-01-13T2045,267,279
618,2018-01-13T2115,258,275
619,2018-01-13T2145,251,264
620,2018-01-13T2215,239,245
621,2018-01-13T2245,233,230
622,2018-01-13T2315,234,220
623,2018-01-13T2345,232,218
624,2018-01-14T0015,231,224
625,2018-01-14T0045,231,230
626,2018-01-14T0115,238,232
627,2018-01-14T0145,238,230
628,2018-01-14T0215,235,230
629,2018-01-14T0245,234,231
630,2018-01-14T0315,236,224
631,2018-01-14T0345,232,217
632,2018-01-14T0415,230,216
633,2018-01-14T0445,226,213
634,2018-01-14T0515,222,209
635,2018-01-14T0545,218,207
636,2018-01-14T0615,219,206
637,2018-01-14T0645,221,202
638,2018-01-14T0715,217,193
639,2018-01-14T0745,214,194
640,2018-01-14T0815,213,198
641,2018-01-14T0845,224,206
642,2018-01-14T0915,232,217
643,2018-01-14T0945,244,229
644,2018-01-14T1015,247,234
645,2018-01-14T1045,250,244
646,2018-01-14T1115,252,248
647,2018-01-14T1145,256,250
648,2018-01-14T1215,261,251
649,2018-01-14T1245,264,250
650,2018-01-14T1315,263,251
651,2018-01-14T1345,264,255
652,2018-01-14T1415,262,257
653,2018-01-14T1445,266,262
654,2018-01-14T1515,273,269
655,2018-01-14T1545,280,277
656,2018-01-14T1615,286,283
657,2018-01-14T1645,294,287
658,2018-01-14T1715,302,286
659,2018-01-14T1745,305,286
660,2018-01-14T1815,306,284
661,2018-01-14T1845,302,278
662,2018-01-14T1915,294,269
663,2018-01-14T1945,281,259
664,2018-01-14T2015,266,249
665,2018-01-14T2045,250,233
666,2018-01-14T2115,233,216
667,2018-01-14T2145,217,199
668,2018-01-14T2215,200,184
669,2018-01-14T2245,182,168
670,2018-01-14T2315,169,153
671,2018-01-14T2345,162,148
672,2018-01-15T0015,157,166
673,2018-01-15T0045,156,181
674,2018-01-15T0115,162,186
675,2018-01-15T0145,163,178
676,2018-01-15T0215,154,163
677,2018-01-15T0245,160,154
678,2018-01-15T0315,163,146
679,2018-01-15T0345,156,136
680,2018-01-15T0415,151,132
681,2018-01-15T0445,149,142
682,2018-01-15T0515,155,155
683,2018-01-15T0545,163,174
684,2018-01-15T0615,190,194
685,2018-01-15T0645,214,224
686,2018-01-15T0715,237,248
687,2018-01-15T0745,259,247
688,2018-01-15T0815,268,260
689,2018-01-15T0845,276,262
690,2018-01-15T0915,279,268
691,2018-01-15T0945,281,274
692,2018-01-15T1015,280,276
693,2018-01-15T1045,276,271
694,2018-01-15T1115,276,272
695,2018-01-15T1145,273,266
696,2018-01-15T1215,271,257
697,2018-01-15T1245,267,255
698,2018-01-15T1315,263,253
699,2018-01-15T1345,262,246
700,2018-01-15T1415,256,245
701,2018-01-15T1445,256,247
702,2018-01-15T1515,254,253
703,2018-01-15T1545,260,263
704,2018-01-15T1615,272,270
705,2018-01-15T1645,281,278
706,2018-01-15T1715,292,289
707,2018-01-15T1745,297,294
708,2018-01-15T1815,297,299
709,2018-01-15T1845,298,299
710,2018-01-15T1915,294,284
711,2018-01-15T1945,285,267
712,2018-01-15T2015,269,265
713,2018-01-15T2045,257,250
714,2018-01-15T2115,241,236
715,2018-01-15T2145,223,215
716,2018-01-15T2215,203,197
717,2018-01-15T2245,185,182
718,2018-01-15T2315,172,162
719,2018-01-15T2345,162,152
720,2018-01-16T0015,161,151
721,2018-01-16T0045,162,169
722,2018-01-16T0115,167,181
723,2018-01-16T0145,166,163
724,2018-01-16T0215,161,156
725,2018-01-16T0245,161,152
726,2018-01-16T0315,160,148
727,2018-01-16T0345,152,147
728,2018-01-16T0415,147,145
729,2018-01-16T0445,144,146
730,2018-01-16T0515,141,153
731,2018-01-16T0545,146,157
732,2018-01-16T0615,166,178
733,2018-01-16T0645,186,204
734,2018-01-16T0715,207,222
735,2018-01-16T0745,229,236
736,2018-01-16T0815,235,242
737,2018-01-16T0845,233,237
738,2018-01-16T0915,231,233
739,2018-01-16T0945,230,229
740,2018-01-16T1015,218,222
741,2018-01-16T1045,213,217
742,2018-01-16T1115,210,212
743,2018-01-16T1145,208,209
744,2018-01-16T1215,208,214
745,2018-01-16T1245,211,210
746,2018-01-16T1315,214,213
747,2018-01-16T1345,218,218
748,2018-01-16T1415,218,223
749,2018-01-16T1445,223,226
750,2018-01-16T1515,226,233
751,2018-01-16T1545,234,245
752,2018-01-16T1615,249,254
753,2018-01-16T1645,265,266
754,2018-01-16T1715,279,274
755,2018-01-16T1745,286,272
756,2018-01-16T1815,289,274
757,2018-01-16T1845,296,270
758,2018-01-16T1915,297,264
759,2018-01-16T1945,287,259
760,2018-01-16T2015,274,253
761,2018-01-16T2045,267,237
762,2018-01-16T2115,257,221
763,2018-01-16T2145,242,202
764,2018-01-16T2215,220,183
765,2018-01-16T2245,206,161
766,2018-01-16T2315,197,150
767,2018-01-16T2345,188,142
768,2018-01-17T0015,188,140
769,2018-01-17T0045,188,147
770,2018-01-17T0115,197,151
771,2018-01-17T0145,197,141
772,2018-01-17T0215,195,141
773,2018-01-17T0245,192,136
774,2018-01-17T0315,191,138
775,2018-01-17T0345,180,130
776,2018-01-17T0415,170,129
777,2018-01-17T0445,166,130
778,2018-01-17T0515,166,137
779,2018-01-17T0545,166,149
780,2018-01-17T0615,179,172
781,2018-01-17T0645,198,194
782,2018-01-17T0715,215,217
783,2018-01-17T0745,235,234
784,2018-01-17T0815,237,239
785,2018-01-17T0845,234,238
786,2018-01-17T0915,233,233
787,2018-01-17T0945,233,228
788,2018-01-17T1015,222,217
789,2018-01-17T1045,216,217
790,2018-01-17T1115,212,214
791,2018-01-17T1145,211,211
792,2018-01-17T1215,211,210
793,2018-01-17T1245,212,209
794,2018-01-17T1315,213,214
795,2018-01-17T1345,213,216
796,2018-01-17T1415,211,222
797,2018-01-17T1445,215,232
798,2018-01-17T1515,221,244
799,2018-01-17T1545,234,256
800,2018-01-17T1615,251,265
801,2018-01-17T1645,266,271
802,2018-01-17T1715,286,276
803,2018-01-17T1745,298,281
804,2018-01-17T1815,306,280
805,2018-01-17T1845,312,279
806,2018-01-17T1915,311,278
807,2018-01-17T1945,311,282
808,2018-01-17T2015,308,274
809,2018-01-17T2045,301,258
810,2018-01-17T2115,290,245
811,2018-01-17T2145,276,233
812,2018-01-17T2215,258,221
813,2018-01-17T2245,243,209
814,2018-01-17T2315,233,204
815,2018-01-17T2345,223,201
816,2018-01-18T0015,226,204
817,2018-01-18T0045,230,204
818,2018-01-18T0115,237,199
819,2018-01-18T0145,229,195
820,2018-01-18T0215,220,191
821,2018-01-18T0245,221,188
822,2018-01-18T0315,225,182
823,2018-01-18T0345,220,176
824,2018-01-18T0415,216,175
825,2018-01-18T0445,216,178
826,2018-01-18T0515,201,192
827,2018-01-18T0545,218,214
828,2018-01-18T0615,242,235
829,2018-01-18T0645,264,260
830,2018-01-18T0715,284,269
831,2018-01-18T0745,301,266
832,2018-01-18T0815,307,260
833,2018-01-18T0845,298,262
834,2018-01-18T0915,287,263
835,2018-01-18T0945,288,265
836,2018-01-18T1015,281,265
837,2018-01-18T1045,279,266
838,2018-01-18T1115,276,264
839,2018-01-18T1145,271,264
840,2018-01-18T1215,265,269
841,2018-01-18T1245,266,278
842,2018-01-18T1315,268,284
843,2018-01-18T1345,272,286
844,2018-01-18T1415,272,293
845,2018-01-18T1445,276,302
846,2018-01-18T1515,280,309
847,2018-01-18T1545,288,322
848,2018-01-18T1615,302,324
849,2018-01-18T1645,310,323
850,2018-01-18T1715,324,319
851,2018-01-18T1745,332,319
852,2018-01-18T1815,335,314
853,2018-01-18T1845,332,309
854,2018-01-18T1915,327,302
855,2018-01-18T1945,320,290
856,2018-01-18T2015,308,286
857,2018-01-18T2045,295,266
858,2018-01-18T2115,278,247
859,2018-01-18T2145,263,235
860,2018-01-18T2215,243,220
861,2018-01-18T2245,226,201
862,2018-01-18T2315,214,200
863,2018-01-18T2345,201,199
864,2018-01-19T0015,198,199
865,2018-01-19T0045,202,201
866,2018-01-19T0115,207,208
867,2018-01-19T0145,205,208
868,2018-01-19T0215,202,208
869,2018-01-19T0245,200,204
870,2018-01-19T0315,200,198
871,2018-01-19T0345,198,194
